Borough,Population,Area,Density,Latitude,Longitude
Friedrichshain-Kreuzberg,"268,225
","20.16
","20.16
",52.500520062179,13.418709963356338
Lichtenberg,"259,881
","52.29
","52.29
",52.51618000000008,13.480870000000039
Marzahn-Hellersdorf,"248,264
","61.74
","61.74
",52.51667000000003,13.583330000000046
Mitte,"332,919
","39.47
","39.47
",52.52119000000005,13.424140000000023
Neukölln,"310,283
","44.93
","44.93
",52.480770000000064,13.435410000000047
Pankow,"366,441
","103.01
","103.01
",52.56925000000007,13.402480000000025
Reinickendorf,"240,454
","89.46
","89.46
",52.575450000000046,13.349700000000041
Spandau,"223,962
","91.91
","91.91
",52.53487000000007,13.202160000000049
Steglitz-Zehlendorf,"293,989
","102.50
","102.50
",52.43485000000004,13.24183000000005
Tempelhof-Schöneberg,"335,060
","53.09
","53.09
",52.47769743739926,13.35870062810808
Treptow-Köpenick,"241,335
","168.42
","168.42
",52.43333000000007,13.600000000000023
